"country","date","year","type","actor1","actor2","region","location","lat","lng","source","source_scale","notes","incident_fatalities","region_fatalities","freq"
"Algeria","2018-06-10",2018,"Violence against civilians","Unidentified Armed Group (Algeria)","Civilians (International)","Northern Africa","Algiers",36.7525,3.042,"Xinhua News","International","On 10 June, a Chinese citizen was robbed and killed by criminal Algerians in broad daylight in the region of Dalbeda in Algiers. The Chinese ambassador pointed out that attacks against Chinese companies and personel have increased significantly and issued a statement, alerting Chinese citizens in Algeria to take further safety precautions.",1,1953,31
"Algeria","2018-01-15",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","Unidentified Armed Group (Algeria)","Northern Africa","Ben Choud",36.8632,3.8804,"Maghreb Emergent, Menastream","Regional","Three militants were killed in an ambush by the Algerian National Army in Ben Choud.",3,1953,31
"Algeria","2018-01-31",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","Unidentified Armed Group (Algeria)","Northern Africa","Ouled Hellal",35.9371,2.4984,"Menastream","Other-subnational","Two militants killed and two AKs seized by the ANP this evening in the area of Ouled Hellal, Medea Province.",2,1953,31
"Algeria","2018-01-26",2018,"Battle-No change of territory","Military Forces of Algeria (1999-)","AQIM: Al Qaeda in the Islamic Maghreb","Northern Africa","Chechar",35.0381,7.0042,"AP International, Menastrea,","Subnational-international","The Algerian army killed 7 AQIM/Katibat al-Fath al-Mubin militants in a CT-operation in Rakhouche, Chechar, Khenchela province.",7,1953,31
"Algeria","2018-02-14",2018,"Remote violence","AQIM: Al Qaeda in the Islamic Maghreb","Military Forces of Algeria (1999-)","Northern Africa","Bir El-Ater",34.7449,8.0602,"BBC Monitoring, Menastream","National-regional","Five Algerian soldiers were killed in a landmine explosion south of Bir El Atar near the Tunisian border. AQIM claimed the attack.",5,1953,31
"Angola","2018-04-29",2018,"Violence against civilians","Police Forces of Angola (1975-)","Civilians (Angola)","Middle Africa","Quimbele",-6.5166,16.2166,"Voa Portugues","International","On April 29, an Angolan police officer killed a young man as he was chasing a foreigner who had escaped from prison in Quimbele.",1,2893,11
"Angola","2018-04-12",2018,"Violence against civilians","Unidentified Armed Group (Angola)","Civilians (Guinea)","Middle Africa","Viana",-8.9025,13.3722,"Agence France Presse","International","On the night of April 11-12, a Guinean civilian was killed in Zona Verde, commune of Viana. Circumstances unclear.",1,2893,11
"Angola","2018-06-01",2018,"Violence against civilians","Police Forces of Angola (1975-) Criminal Investigations Service","Civilians (Angola)","Middle Africa","Luanda",-8.8383,13.2344,"VOA Portugues; Agence France Presse; Maka Angola","National-International","On June 1, a SIC policeman pointed his gun at a suspected criminal and shot him in Luanda while he could not get up from the ground. The event happened while the man was taking the 7 police officers to see the pits where he used to dispose of the bodies of the people he killed. According to witnesses, minutes after the first shot, another policeman arrived and shot the man a couple more times. This is another event in the series of killings/assassinations perpetrated by SIC police agents.",1,2893,11
"Angola","2018-02-24",2018,"Violence against civilians","Police Forces of Angola (1975-)","Protesters (Angola)","Middle Africa","Cafunfo",-8.78,17.99,"Jornal F8","National","On February 24th, around 4,000 protesters took to the streets in Cafunfu. Police forces repressed the protest by opening fire against the protesters, injuring 8 of them; one of the injured protesters died of a woundshot to the head. Another citizen was allegedly tortured by police.",1,2893,11
"Angola","2018-02-24",2018,"Violence against civilians","Police Forces of Angola (1975-)","Protesters (Angola)","Middle Africa","Lunda",-8.55,17.7666,"Voa Portugues","International","On Saturday February 24, a protest organised by the MJSPL took place in Lunda Norte to demand the autonomy of the kingdom Lunda. Police forces intervened, killing 1 of the protesters and injuring another 19. A total of 101 people were arrested; more than 70 of them were released by Monday, February 26.",1,2893,11
"Angola","2018-07-04",2018,"Violence against civilians","Police Forces of Angola (1975-)","Civilians (Angola)","Middle Africa","Viana",-8.9025,13.3722,"VOA","International","On July 4, an attack in Viana perpetrated by 30 policemen led to the death of a woman and 3 other people injured.",1,2893,11
"Angola","2018-04-04",2018,"Battle-No change of territory","Military Forces of Angola (1975-)","FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda","Middle Africa","Necuto",-4.95,12.6166,"BBC Monitoring","International","On April 4, the Armed Force of Cabinda (FAC) claimred to have killed four soldiers when they attacked the Necuto base in Cabinda.",4,2893,11
"Angola","2018-01-10",2018,"Battle-No change of territory","Police Forces of Angola (1975-) State Security and Intelligence Service","Unidentified Armed Group (Angola)","Middle Africa","Kakenge",-12.4,22.5666,"Agence France Presse","International","On January 10th, a dozen armed men decapitated an officer belonging to the information services, carried his head and burned a dozen houses in Kakenge.",1,2893,11
"Benin","2018-04-25",2018,"Battle-No change of territory","Fulani Ethnic Militia (Benin)","Igboiganan Communal Militia (Benin)","Western Africa","Ketou",7.3633,2.5998,"Agence Benin Press","National","On 25 April, two Fulani herdsmen were killed as a clash erupted with local farmers in Igboiganan, Ketou.",2,5380,24
"Benin","2018-02-11",2018,"Violence against civilians","Sahe-Abigo Communal Militia (Benin)","Civilians (Benin)","Western Africa","Agbangnizoun",7.0676,1.9737,"Agence Benin Presse","National","Sahe-Abigo people killed 4 herders as reprisal to the killing of the farmer.",4,5380,24
"Benin","2018-07-07",2018,"Violence against civilians","Tchamonga Communal Militia (Benin)","Civilians (Benin)","Western Africa","Tchamonga",10.4922,0.9997,"Agence Benin Presse","National","On 7 July, suspected Fulani herders killed a farmer in Tchamonga, Cobly. People from Tchamonga retaliated the same day, killing 5 Fulani herders and 2 other displaced people near Tchamonga and burning down properties. 5000 people were displaced to neighbouring communes.",7,5380,24
"Benin","2018-06-25",2018,"Violence against civilians","Fulani Ethnic Militia (Benin)","Civilians (Benin)","Western Africa","Igana",7.0385,2.6928,"Agence Benin Presse","National","On 25 June, some Fulani herdmen reportedly killed 2 civilians in Igbo-Igana, Idigny, after a cattle theft.",2,5380,24
"Benin","2018-02-13",2018,"Battle-No change of territory","Sahe-Abigo Communal Militia (Benin)","Fulani Ethnic Militia (Benin)","Western Africa","Agbangnizoun",7.0676,1.9737,"Agence Benin Presse","National","Farmers-herders clashes continued: 2 herders were killed and one went missing.",2,5380,24
"Benin","2018-07-07",2018,"Violence against civilians","Fulani Ethnic Militia (Benin)","Civilians (Benin)","Western Africa","Tchamonga",10.5877,0.8127,"Agence Benin Presse","National","On 7 July, suspected Fulani herders killed a farmer in Tchamonga, Cobly. People from Tchamonga retaliated the same day, killing 5 Fulani herders and 2 other displaced people near Tchamonga and burning down properties. 5000 people were displaced to neighbouring communes.",1,5380,24
"Benin","2018-04-26",2018,"Violence against civilians","Fulani Ethnic Militia (Benin)","Civilians (Benin)","Western Africa","Ketou",7.3633,2.5998,"Agence Benin Press","National","On 26 April, Fulani herdmen attacked Igboiganan, Ketou, as a reprisal for the 25 April clashes. 5 civilians were killed.",5,5380,24
"Benin","2018-02-11",2018,"Violence against civilians","Fulani Ethnic Militia (Benin)","Civilians (Benin)","Western Africa","Agbangnizoun",7.0676,1.9737,"Agence Benin Presse","National","A farmer was killed by a group of herders after protesting against the devastation of his field.",1,5380,24
"Burkina Faso","2018-07-17",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Baraboule",14.21,-1.8315,"Agence France Presse","International","On July 17, the village chief of Hocoulourou (Commune of Baraboule), abducted on July 7 was brought back and executed at the entrance of Baraboule, the corpse of a villager shot dead was found nearby the following morning.",2,5380,50
"Burkina Faso","2018-06-16",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Tindangou",11.1793,0.833,"Ministry of Security; Radio Omega","Subnational-National","On June 16, unknown gunmen attacked the traffic police station in Tindangou, killing one policeman.",1,5380,50
"Burkina Faso","2018-01-29",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Baraboule",14.21,-1.8315,"Menastream","Other-subnational","Two policemen killed after being ambushed between Baraboule and Petegoli, Soum province, near the Mali border",2,5380,50
"Burkina Faso","2018-06-16",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Komin-Yanga",11.6997,0.1369,"Ministry of Security","National","On June 16, unknown gunmen attacked the police station in Komin-Yanga, the attack was repelled and one assailant killed and one policeman wounded.",1,5380,50
"Burkina Faso","2018-02-03",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Deou",14.6008,-0.719,"Menastream","Other-subnational","Police post in Deou, Oudalan Province attacked not long ago by two unknown gunmen, one of the assailants killed according to information currently available",1,5380,50
"Burkina Faso","2018-05-16",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Aribinda",14.2296,-0.8654,"OCHA","International","On May 16, presumed Ansaroul Islam militants assassinated a marabout in the commune of Arbinda.",1,5380,50
"Burkina Faso","2018-03-04",2018,"Battle-No change of territory","Military Forces of Burkina Faso (2015-)","Unidentified Armed Group (Burkina Faso)","Western Africa","Ouaga 2000",12.2951,-1.4977,"Agence France Presse; Menastream","Subnational-international","On March 4, three individuals approached a checkpoint near the Presidential palace in Ouaga 2000, one aboard a motorbike attempted to force through the checkpoint manned by the presidential guard (GSPR). Two escaped while one was arrested, the latter attempted to take a weapon from one of the soldiers while detained and was shot dead.",1,5380,50
"Burkina Faso","2018-03-15",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Forest Guards (Burkina Faso)","Western Africa","Nassougou",12.0735,1.181,"Menastream; Local sources","Other-local","On 15 March, unknown gunmen attacked a forest guard post overnight in Nassougou, Gourma Province. One ranger killed and a vehicle burned. This is the second attack in this area in less than a week",1,5380,50
"Burkina Faso","2018-03-13",2018,"Violence against civilians","Military Forces of Burkina Faso (2015-)","Civilians (Burkina Faso)","Western Africa","Nassoumbou",14.4159,-1.5486,"Menastream; Kisal","Other-Local","On March 13, the counter-terrorism task force GFAT arrested a civilian at the market in Nassoumbou who after his arrest was extrajudicially executed.",1,5380,50
"Burkina Faso","2018-05-22",2018,"Battle-No change of territory","Police Forces of Burkina Faso (2015-) Gendarmerie","Al Mourabitoune Battalion","Western Africa","Dagmongo",12.3267,-1.4431,"Agence France Presse; Associated Press International","International","On May 22, special units of the gendarmerie raided a house in Ragnongo, on the southeastern outskirts of the capital Ouagadougou, the house targeted harbored an Al-Mourabitoun militant cell, three militants and a gendarme were killed in the shootout and one militant arrested, four gendarmes and two civilians were also wounded. A significant amount of weapons, ammunition, explosives and other military equipment including military uniforms of the Burkina and French army were seized. The operation likely thwarted another major attack in Ouagadougou.",4,5380,50
"Burkina Faso","2018-05-23",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Kalgondin",12.3506,-1.4992,"Menastream","Other-Local","On May 23, unknown gunmen aboard a motorbike attacked and shot dead a policeman and wounded another from the Multipurpose Intervention Unit (UIP) in Kalgondin, Ouagadougou. One of the assailants was also wounded but managed to escape.",1,5380,50
"Burkina Faso","2018-03-26",2018,"Remote violence","Police Forces of Burkina Faso (2015-)","Civilians (Burkina Faso)","Western Africa","Bobo-Dioulasso",11.1772,-4.2979,"AIB; Burkina24","Subnational-National","On March 26, a storage containing explosives detonated at the Mobile Customs Brigade in Bobo-Dioulasso, one customs officer and a cleaning woman were killed in the blast.",2,5380,50
"Burkina Faso","2018-04-08",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Koutougou",14.5125,-0.0991,"Agence France Presse; Menastream; Xinhua","Other-International","On April 8, presumed Ansaroul Islam militants assassinated the mayor of Koutougou outside his home just after he had left the local mosque.",1,5380,50
"Burkina Faso","2018-02-01",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Djibo",14.0875,-1.6418,"Menastream","Other-subnational","Village chief in Tiemboulo, Soum Province assassinated by presumed Ansaroul Islam members. A local councilman was assassinated as well.",2,5380,50
"Burkina Faso","2018-03-02",2018,"Battle-No change of territory","JNIM: Group for Support of Islam and Muslims","Military Forces of Burkina Faso (2015-)","Western Africa","Ouagadougou",12.3703,-1.5247,"Africa News; Agence France Presse","Regional-international","High-profile attack in Ouagadougou simultaneously targeted the Chief of Staff Headquarters and the French Embassy. The attack was initiated by the detonation of an explosives-laden vehicle at the Chief of Staff headquarters. Militants attacked guard posts at sites with light weapons, and gunfire was reported in the capital throughout the day. In the evening, when operations to counter the attacks had ended, eight assailants were reportedly killed, four at each location. According to official sources, eight members of Burkina's defense and security were also confirmed killed and as many as 90 wounded, including a dozen severely. The casualty toll could continue to rise as the situation evolves and the dust settles. JNIM claimed responsibility.",16,5380,50
"Burkina Faso","2018-02-13",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-)","Western Africa","Pama",11.2497,0.7075,"Menastream; Sidwaya","Subnational-national","Unknown gunmen attacked a police patrol in Natiaboani, area of Pama, not far from Fada Ngourma, one policeman was killed and two others wounded.",1,5380,50
"Burkina Faso","2018-07-04",2018,"Battle-No change of territory","Islamic State (Greater Sahara)","Police Forces of Burkina Faso (2015-)","Western Africa","Bangaba",13.3576,0.3115,"Menastream","Other","On July 4, presumed ISGS militants ambushed and killed a customs officer in the area of Bangaba, Yagha Province.",1,5380,50
"Burkina Faso","2018-03-17",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-) Gendarmerie","Western Africa","Di",13.169,-3.4151,"Menastream; Le Pays","Subnational-national","On March 17, an unknown gunman opened fire on a unit of customs officers in Di, Sourou Province near the Mali border. One customs officer gunshot wounded and a weapon seized, border police pursued the assailant who opened fire once again before being shot dead, according to authorities. However, local sources said that the concerned individual refused to be checked by the customs officers at the market and attacked them with a machete, wounding one customs officer severely, then seized a weapon and opened fire. The area in question from widespread racketeering and extortion activities by security forces including customs officers and local officials.",1,5380,50
"Burkina Faso","2018-04-24",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Niafo",14.1018,-1.0394,"Agence France Presse; Menastream; RFI","Other-International","On April 24, presumed Ansaroul Islam militants assassinated a village chief, his son and a Koglweogo militiaman who had left a mosque after prayer in the village of Niafo.",3,5380,50
"Burkina Faso","2018-07-24",2018,"Violence against civilians","Islamic State (Greater Sahara)","Civilians (Burkina Faso)","Western Africa","Natiaboani",11.7034,0.5054,"Menastream; Netafrique; Les Echos du Faso","Other-Regional","On July 24, presumed ISGS militants shot dead two peasants in the village of Kpendima, near Natiaboani.",2,5380,50
"Burkina Faso","2018-07-03",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Belehede",14.0815,-1.2908,"Menastream","Other","On July 3, presumed Ansaroul Islam militants assassinated the Koglweogo chief in Belehede, Soum Province.",1,5380,50
"Burkina Faso","2018-01-05",2018,"Battle-No change of territory","Unidentified Armed Group (Burkina Faso)","Police Forces of Burkina Faso (2015-) Gendarmerie","Western Africa","Kelbo",13.8658,-1.1608,"Menastream","Other-subnational","One assailant killed and AK seized by the gendarmes who repelled the attack in Kelbo, Soum Province two days ago, motorbike, ammo belt and mag left behind by the assailants recovered amidst ensuing search operation.",1,5380,50
"Burkina Faso","2018-02-03",2018,"Violence against civilians","Military Forces of Burkina Faso (2015-)","Civilians (Burkina Faso)","Western Africa","Baraboule",14.21,-1.8315,"Menastream","Other-subnational","Another extrajudicial killing (of a youth described as suffering of mental disorder/intellectual disability) by Burkinabe security forces in hamlet not far from Baraboule, following the attack that killed two policemen in the area of Petegoli.",1,5380,50
"Burkina Faso","2018-05-15",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Oursi",14.6755,-0.4603,"Menastream; Sidwaya","Other-Subnational","On May 15, presumed Ansaroul Islam militants attacked the residence of the prefect in Oursi who also was a police officer, the prefect was killed in the attack and his house burnt.",1,5380,50
"Burkina Faso","2018-04-12",2018,"Violence against civilians","Ansaroul Islam","Civilians (Burkina Faso)","Western Africa","Bouro",14.3201,-1.4328,"Menastream","Other","On April 12, presumed Ansaroul Islam militants attacked the school in Bouro (Nassoumbou), Soum Province, one student was killed and others wounded others, a teacher was also abducted.",1,5380,50
"Burundi","2018-04-27",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Butamuheba",-3.4434,29.875,"local source","Local","On 27 April, a young member of the Imbonerakure went missing. His body was found on 28 April in the Butamuheba locality, Mungwa zone, Gitega commune with knife wounds.",1,5588,183
"Burundi","2018-06-10",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Runanira",-2.5833,30.1168,"SOS-Torture","National","On 10 June, the body of a man was found on Runanira Hill, in the urban center of Kirundo commune and province.He was a teacher and member of the Imbonerakure militia.",1,5588,183
"Burundi","2018-06-08",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Mubanga",-2.9869,29.9583,"RPA","Regional","On 8 June at the Ryarunyinya hill of the Mubanga area in Ruhororo commune, a man was killed by Imbonerakure. They accused him of witchcraft.",1,5588,183
"Burundi","2018-06-16",2018,"Violence against civilians","Taba Communal Militia (Burundi)","Civilians (Burundi)","Eastern Africa","Taba",-3.2986,30.1603,"Local source","Local","On 16 June, a woman was murdered at her home located in Taba locality, Maramvya zone of Nyabikere commune, Karusi province by unidentified people. Land conflicts seem to be the reason of this murder.",1,5588,183
"Burundi","2018-04-21",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Gaterama",-3.2432,29.8444,"local source","Local","On 21 April, a pro-Agathon Rwasa FNL member was found dead in Gaterama locality, Bitare, Bugendana commune, Gitega. The family had recently received death threats from unknown people for leaving the CNDD-FDD.",1,5588,183
"Burundi","2018-04-21",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Buhiga",-3.0302,30.1608,"local source","Local","On 21 April, an Imbonerakure member was beaten to death in Buhiga commune, Karusi, by other Imbonerakure after being charged with theft.",1,5588,183
"Burundi","2018-06-07",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Ngagara",-3.3529,29.3704,"local source","Local","On 7 June, unidentified men armed with rifles murdered a taxi-man who was recently retired from the army (ex-FAB) where he was the chief of staff's personal chauffeur. Some sources close to his family point to the agents of the National Intelligence Service (SNR) without giving more details.",1,5588,183
"Burundi","2018-06-10",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Birohe",-3.4341,29.9581,"Agence Bujumbura News","National","On 10 June, one person was killed and five seriously injured by a grenade thrown in front of a shop in the Birohe area of Gitega province.",1,5588,183
"Burundi","2018-04-20",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Nkanda",-2.9101,30.0752,"local source","Local","On 20 April, an FNL-R activist who attempted to murder the head of the Imbonerakure in Nkanda locality, Gasezegwa zone, Tangara commune in Ngozi was arrested and beaten to death Imbonerakure.",1,5588,183
"Burundi","2018-01-31",2018,"Battle-No change of territory","Military Forces of Burundi (2005-) National Intelligence Agency","FNL: National Forces of Liberation","Eastern Africa","Rukoko Natural Reserve",-3.1875,29.2933,"RPA","Subnational","Military forces and FNL fighters clashed in the Rukoko forest. 2 soldiers and an FNL were killed and many others were injured.",3,5588,183
"Burundi","2018-06-06",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Mugina",-2.756,29.1101,"RPA","Regional","On 6 June, one person was killed (beheaded) by unidentified people in Mugina municipality in Cibitoke province.",1,5588,183
"Burundi","2018-04-01",2018,"Battle-No change of territory","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Unidentified Armed Group (Burundi)","Eastern Africa","Gitega",-3.4264,29.9308,"VOA Africa","International","On 1 April, two Imbonerakure members were killed and 14 others wounded in a grenade explosion in Gitega commune.",2,5588,183
"Burundi","2018-05-21",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Gitega",-3.4264,29.9308,"RPA","Regional","On 21 May, a catechiste of the paroisse parish was killed by unidentified armed men in Gitega.",1,5588,183
"Burundi","2018-05-07",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Gitega",-3.4264,29.9308,"RPA","Regional","Between 1-17 May, a member of the Amizero y Aburundi coalition was killed in Gitega province by Imbonerakure.",1,5588,183
"Burundi","2018-02-19",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Gitaba",-4.0428,29.7604,"local source","Local","Unidentified attackers threw a grenade on Murambi hill, in Gitaba. One woman was killed and one was seriously injured. It is believed that the attack was because of witchcraft.",1,5588,183
"Burundi","2018-05-13",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Ntega",-2.6075,29.9917,"RPA","Regional","On 13 May, an FNL member of the Amizero y Abarundi coalition was beaten to death with sticks by the vice-president of the Imbonerakure youth league in Ntega commune of Kirundo province. 12 others reported seriously injured and 4 missing.",1,5588,183
"Burundi","2018-02-20",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Buvyuko",-3.0833,29.3333,"local source","Local","2 people were killed in a grenade attack on the Muhenga hill in Buvyuko. It is believed that land disputes were the source of conflict.",2,5588,183
"Burundi","2018-07-09",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Vumbi",-2.6988,30.1036,"RPA","National","On 9 July, another group of gunmen attacked on the Gwisuri Common Vumbi Hill in Kirundo Province. Two people were killed and two others injured.",2,5588,183
"Burundi","2018-01-22",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Rugombo",-2.8095,29.082,"Iwacu","Local","Unidentified attackers set off 2 grenades in Munyika, near Rugombo. A 5 year old child was killed.",1,5588,183
"Burundi","2018-02-24",2018,"Violence against civilians","CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)","Civilians (Burundi)","Eastern Africa","Butaganzwa",-3.1034,29.7225,"local source","Local","An FNL Rwasa supporter in Gahise, Butaganzwa, was beaten to death. The man's wife and neighbours believe that the murder was committed by Imbonerakure during a voter registration check.",1,5588,183
"Burundi","2018-04-16",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Gihanga",-3.194,29.3068,"local source","Local","On 16 April, two people driving to Cibitoke were shot dead, and four others were wounded, in an ambush carried out by an armed group on the RN5 highway (Bujumbura-Cibitoke), Gihanga commune, Bubanza. The perpetrators of this attack are unknown. Alternative report mentions five people killed, three wounded and three others were kidnapped. The three abducted are Imbonerakure members of CNDD-FDD.",2,5588,183
"Burundi","2018-04-13",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Murambi",-4.0369,29.803,"local source","Local","On 13 April, the body of a UPRONA member was found in Murambi locality, Bukeye zone, Kibago commune. He had been strangled to death. Motives remain unknown.",1,5588,183
"Burundi","2018-07-09",2018,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Eastern Africa","Nyamunazi",-3.6884,30.3809,"local source","Local","On 9 July, a household of a CNDD-FDD member from Nyamunazi locality, in Kinyinya zone and commune, suffered a grenade attack. One child was killed and the mother with another child were seriously injured. The perpetrators and reasons behind this attack remain unknown.",1,5588,183
